Island Alpha,Aou,Year,Plot,Productivity_Type,Nest,Hatch_Order,BBL_Number,LGR
JI,COTE,2016,NW Plot,Fenced Plot,6,A,1332-52299,6.814645309
JI,COTE,2016,NW Plot,Fenced Plot,6,B,1332-52315,6.946428571
JI,COTE,2016,NW Plot,Fenced Plot,7,A,1332-52300,7.776785714
JI,COTE,2016,NW Plot,Fenced Plot,7,B,1332-52356,5
JI,COTE,2016,NW Plot,Fenced Plot,9,A,1332-52329,6.25862069
JI,COTE,2016,NW Plot,Fenced Plot,9,B,1332-52358,7.176691729
JI,COTE,2016,NW Plot,Fenced Plot,10,A,1332-52301,8.347826087
JI,COTE,2016,NW Plot,Fenced Plot,10,B,1332-52302,9.290178571
JI,COTE,2016,NW Plot,Fenced Plot,10,C,1332-52328,6.724137931
JI,COTE,2016,NW Plot,Fenced Plot,11,B,1332-52357,6.146616541
JI,COTE,2016,NW Plot,Fenced Plot,11,C,1332-52379,6.680451128
JI,COTE,2016,NW Plot,Fenced Plot,12,A,1332-29385,5.2
JI,COTE,2016,NW Plot,Fenced Plot,12,B,1332-29386,6.8
JI,COTE,2016,NW Plot,Fenced Plot,13,A1,1332-29393,4.313953488
JI,COTE,2016,Oceanview,Fenced Plot,1,A,1332-52350,4.648648649
JI,COTE,2016,Oceanview,Fenced Plot,1,B,1332-52351,6.15890411
JI,COTE,2016,Oceanview,Fenced Plot,1,C,1332-52385,3.3
JI,COTE,2016,Oceanview,Fenced Plot,2,A,1332-52335,4.25
JI,COTE,2016,Oceanview,Fenced Plot,2,B,1332-52336,7.62195122
JI,COTE,2016,Oceanview,Fenced Plot,3,A,1332-52371,9.234782609
JI,COTE,2016,Oceanview,Fenced Plot,3,B,1332-52388,6.755813953
JI,COTE,2016,Oceanview,Fenced Plot,4,A,1332-52386,6.314285714
JI,COTE,2016,Oceanview,Fenced Plot,4,B,1332-52392,6.05
JI,COTE,2016,Oceanview,Fenced Plot,5,A,1332-52294,5.528089888
JI,COTE,2016,Oceanview,Fenced Plot,5,B,1332-52318,6.926966292
JI,COTE,2016,Oceanview,Fenced Plot,6,A,1332-52307,6.724719101
JI,COTE,2016,Oceanview,Fenced Plot,6,B,1332-52308,6.175572519
JI,COTE,2016,Oceanview,Fenced Plot,7,A,1332-52295,7.4
JI,COTE,2016,Oceanview,Fenced Plot,7,B,1332-52296,7.265306122
JI,COTE,2016,Oceanview,Fenced Plot,8,A,1332-52319,9.14673913
JI,COTE,2016,Oceanview,Fenced Plot,9,A,1332-52321,7.712082262
JI,COTE,2016,Oceanview,Fenced Plot,9,B,1332-52352,8.45
JI,COTE,2016,Wee Jen,Fenced Plot,1,A,1332-52368,6.720547945
JI,COTE,2016,Wee Jen,Fenced Plot,1,B,1332-52369,6.22739726
JI,COTE,2016,Wee Jen,Fenced Plot,3,A,1332-52370,8.15890411
JI,COTE,2016,Wee Jen,Fenced Plot,4,A,1332-52334,6.365853659
